time,PRT_1,PRT_2,PRT_3,PRT_4,Event_A,MOL_A,Event_B,MOL_B
2020-04-01 00:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 01:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 02:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 03:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 04:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 05:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 06:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 07:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 08:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 09:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 10:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 11:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 12:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 13:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 14:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 15:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 16:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 17:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 18:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 19:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 20:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 21:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 22:00:00,0,1,0,2,CHECK_4,0.0,CHECK_4,0.0
2020-04-01 23:00:00,0,2,0,1,CHECK_4,0.0,CHECK_4,0.0
2020-04-02 00:00:00,0,2,0,1,CHECK_4,0.0,CHECK_4,0.0
2020-04-02 01:00:00,0,2,0,1,CHECK_4,0.0,CHECK_4,0.0
2020-04-02 02:00:00,0,2,0,1,CHECK_4,0.0,CHECK_4,0.0
